Sleep,PhysicalFightingAtSchool,Sleep_Group
5.0,1.0,8 hours
1.0,4.0,4 hours or less
1.0,1.0,4 hours or less
6.0,1.0,9 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
4.0,1.0,7 hours
3.0,1.0,6 hours
6.0,1.0,9 hours
4.0,2.0,7 hours
3.0,1.0,6 hours
3.0,1.0,6 hours
5.0,1.0,8 hours
4.0,1.0,7 hours
5.0,1.0,8 hours
2.0,1.0,5 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
2.0,1.0,5 hours
1.0,1.0,4 hours or less
4.0,1.0,7 hours
4.0,1.0,7 hours
3.0,1.0,6 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
2.0,1.0,5 hours
1.0,1.0,4 hours or less
3.0,1.0,6 hours
3.0,1.0,6 hours
2.0,2.0,5 hours
5.0,1.0,8 hours
1.0,1.0,4 hours or less
5.0,1.0,8 hours
3.0,1.0,6 hours
2.0,1.0,5 hours
4.0,1.0,7 hours
1.0,1.0,4 hours or less
3.0,1.0,6 hours
4.0,1.0,7 hours
4.0,3.0,7 hours
5.0,1.0,8 hours
3.0,1.0,6 hours
3.0,1.0,6 hours
2.0,1.0,5 hours
4.0,1.0,7 hours
4.0,1.0,7 hours
2.0,1.0,5 hours
3.0,1.0,6 hours
5.0,1.0,8 hours
1.0,2.0,4 hours or less
3.0,1.0,6 hours
3.0,1.0,6 hours
3.0,1.0,6 hours
3.0,1.0,6 hours
3.0,1.0,6 hours
4.0,1.0,7 hours
2.0,1.0,5 hours
6.0,1.0,9 hours
5.0,1.0,8 hours
2.0,4.0,5 hours
5.0,1.0,8 hours
4.0,1.0,7 hours
4.0,1.0,7 hours
4.0,1.0,7 hours
2.0,2.0,5 hours
5.0,4.0,8 hours
2.0,1.0,5 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
1.0,1.0,4 hours or less
4.0,2.0,7 hours
1.0,1.0,4 hours or less
4.0,1.0,7 hours
5.0,1.0,8 hours
3.0,1.0,6 hours
2.0,1.0,5 hours
5.0,1.0,8 hours
2.0,1.0,5 hours
4.0,1.0,7 hours
5.0,2.0,8 hours
3.0,1.0,6 hours
1.0,1.0,4 hours or less
4.0,3.0,7 hours
4.0,4.0,7 hours
6.0,3.0,9 hours
4.0,2.0,7 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
3.0,1.0,6 hours
5.0,1.0,8 hours
4.0,1.0,7 hours
2.0,5.0,5 hours
3.0,1.0,6 hours
2.0,1.0,5 hours
5.0,2.0,8 hours
1.0,2.0,4 hours or less
4.0,1.0,7 hours
5.0,1.0,8 hours
5.0,1.0,8 hours
2.0,1.0,5 hours
4.0,1.0,7 hours
5.0,1.0,8 hours
4.0,1.0,7 hours
6.0,2.0,9 hours
5.0,1.0,8 hours
3.0,3.0,6 hours
4.0,1.0,7 hours
3.0,1.0,6 hours
3.0,1.0,6 hours
6.0,3.0,9 hours
4.0,2.0,7 hours
1.0,1.0,4 hours or less
7.0,2.0,10 hours or more
4.0,1.0,7 hours
5.0,2.0,8 hours
3.0,2.0,6 hours
4.0,3.0,7 hours
6.0,1.0,9 hours
1.0,3.0,4 hours or less
3.0,1.0,6 hours
3.0,1.0,6 hours
4.0,1.0,7 hours
4.0,1.0,7 hours
1.0,7.0,4 hours or less
3.0,1.0,6 hours
5.0,1.0,8 hours
4.0,1.0,7 hours
5.0,1.0,8 hours
3.0,1.0,6 hours
1.0,1.0,4 hours or less
5.0,1.0,8 hours
